Food,Calories,Fat,Sat.Fat,Trans_Fat,Cholesterol,Carbs,Fiber,Sugars,Protein
Mist Twst (20 fl oz),260,0,0,0,0,68,0,68,0
Mist Twst (30 fl oz),380,0,0,0,0,101,0,101,0
MNT DEW Sweet Lightning (20 fl oz),120,0,0,0,0,32,0,25,0
Mountain Dew (12 fl oz),160,0,0,0,0,44,0,44,0
Mountain Dew (16 fl oz),220,0,0,0,0,59,0,58,0
Mountain Dew (20 fl oz),270,0,0,0,0,73,0,73,0
Mountain Dew (30 fl oz),410,0,0,0,0,110,0,109,0
Mug Root Beer (12 fl oz),140,0,0,0,0,39,0,39,0
Mug Root Beer (16 fl oz),190,0,0,0,0,52,0,52,0
Mug Root Beer (20 fl oz),240,0,0,0,0,65,0,65,0
Mug Root Beer (30 fl oz),360,0,0,0,0,98,0,98,0
Pepsi Zero Sugar (12 fl oz),0,0,0,0,0,0,0,0,0
Pepsi Zero Sugar (16 fl oz),0,0,0,0,0,0,0,0,0
Pepsi Zero Sugar (20 fl oz),0,0,0,0,0,0,0,0,0
Pepsi Zero Sugar (30 fl oz),0,0,0,0,0,1,0,0,0
Pepsi (12 fl oz),150,0,0,0,0,41,0,41,0
Pepsi (16 fl oz),200,0,0,0,0,55,0,55,0
Pepsi (20 fl oz),250,0,0,0,0,69,0,69,0
Pepsi (30 fl oz),380,0,0,0,0,104,0,103,0
Sobe Lifewater Yumberry Pomegranate (12 fl oz),0,0,0,0,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (16 fl oz),0,0,0,0,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (20 fl oz),0,0,0,0,0,0,0,0,0
Sobe Lifewater Yumberry Pomegranate (30 fl oz),5,0,0,0,0,1,0,0,0
Strawberry Lemonade (1/2 Gallon),950,0,0,0,0,270,0,264,0
Strawberry Lemonade (20 fl oz),170,0,0,0,0,45,0,44,0
Tropicana Fruit Punch (12 fl oz),170,0,0,0,0,45,0,45,0
Tropicana Fruit Punch (16 fl oz),230,0,0,0,0,60,0,60,0
Tropicana Fruit Punch (20 fl oz),280,0,0,0,0,75,0,75,0
Tropicana Fruit Punch (30 fl oz),420,0,0,0,0,113,0,112,0
Tropicana Light Lemonade (12 fl oz),5,0,0,0,0,0,0,0,0
Tropicana Light Lemonade (16 fl oz),10,0,0,0,0,0,0,0,0
Tropicana Light Lemonade (20 fl oz),10,0,0,0,0,0,0,0,0
Tropicana Light Lemonade (30 fl oz),15,0,0,0,0,1,0,0,0
Tropicana Pink Lemonade (12 fl oz),150,0,0,0,0,40,0,40,0
Tropicana Pink Lemonade (16 fl oz),210,0,0,0,0,53,0,53,0
Tropicana Pink Lemonade (20 fl oz),260,0,0,0,0,67,0,67,0
Tropicana Pink Lemonade (30 fl oz),390,0,0,0,0,100,0,100,0
Tropicana Twister Orange (12 fl oz),170,0,0,0,0,46,0,46,0
Tropicana Twister Orange (16 fl oz),230,0,0,0,0,61,0,61,0
Tropicana Twister Orange (20 fl oz),290,0,0,0,0,76,0,76,0
Tropicana Twister Orange (30 fl oz),430,0,0,0,0,115,0,114,0
Wild Cherry Pepsi (12 fl oz),160,0,0,0,0,42,0,42,0
Wild Cherry Pepsi (16 fl oz),210,0,0,0,0,56,0,56,0
Wild Cherry Pepsi (20 fl oz),260,0,0,0,0,70,0,70,0
Wild Cherry Pepsi (30 fl oz),390,0,0,0,0,105,0,105,0
Country Fried Steak without Peppered White Gravy,360,24,7,1,35,22,2,0,13
Country Fried Steak with Peppered White Gravy,390,26,7,1,35,26,2,0,13
KFC Gizzards,300,16,2,0,210,18,1,0,20
KFC Livers,230,13,2.5,0,285,12,0,0,17
Bacon Club Chalupa,440,27,5,0,50,31,2,3,20
Blue Raspberry Freeze„¢ (16 oz),120,0,0,0,0,30,0,30,0
Blue Raspberry Freeze„¢ (20 oz),150,0,0,0,0,38,0,38,0
Loaded Nacho Taco,250,12,4.5,0,25,24,3,2,10
Midnight Berry Freeze„¢ (16 oz),140,0,0,0,0,35,0,34,0
Midnight Berry Freeze„¢ (20 oz),170,0,0,0,0,43,0,42,0
Nacho Fries,320,18,1.5,0,5,35,4,2,4
Nacho Fries BellGrande,710,40,6,0,30,73,10,4,13
Black Bean Chalupa  Online Exclusive,330,15,3,0,10,39,5,3,10
Black Bean Quesarito  Online Exclusive,630,29,10,0,35,73,7,5,19
Quesarito  Online Exclusive,650,33,12,0.5,55,67,6,5,22
Chalupa Supreme  Beef,350,18,5,0,25,33,4,3,13
Chalupa Supreme  Chicken,330,15,3.5,0,35,31,2,3,16
Chalupa Supreme  Steak,330,16,4,0,30,32,2,3,15
Cheesy Gordita Crunch,500,28,10,0.5,55,41,5,4,20
Crunchy Taco,170,9,3.5,0,25,13,3,1,8
Crunchy Taco Supreme,190,11,4.5,0,25,15,3,2,8
Loaded Nacho Taco (New),250,12,4.5,0,25,24,3,2,10
Nacho Cheese Doritos Locos Taco,170,9,3.5,0,25,13,3,1,8
Nacho Cheese Doritos Locos Taco Supreme,190,11,4.5,0,30,15,3,2,8
Soft Taco  Beef,180,9,4,0,25,17,3,1,9
Soft Taco  Chicken,160,5,2.5,0,30,16,1,1,12
Soft Taco  Beef,210,10,5,0,25,20,3,2,10
Soft Taco  Chicken,180,7,3.5,0,35,18,2,2,13
Bean Burrito (V),350,9,3.5,0,5,54,11,3,13
Beefy 5-Layer Burrito,490,18,7,0,30,63,9,5,18
Burrito Supreme  Beef,390,14,6,0,25,51,9,4,16
Burrito Supreme  Chicken,370,11,4.5,0,35,49,8,4,19
Burrito Supreme  Steak,370,12,5,0,30,49,7,4,18
Chili Cheese Burrito (regional),370,17,8,0,35,40,4,2,16
Quesarito  Beef,650,33,12,0.5,55,67,6,5,22
Quesarito  Chicken,620,29,11,0,65,66,4,4,25
Quesarito  Steak,630,30,11,0,60,66,4,4,24
Chips and Nacho Cheese Sauce (V),220,13,1.5,0,5,24,2,2,2
Nacho Fries (V) (New),320,18,1.5,0,5,35,4,2,4
Nacho Fries BellGrande (New),710,40,6,0,30,73,10,4,13
Nachos BellGrande  Beef,740,38,7,0,25,82,15,5,16
Nachos BellGrande  Chicken,720,35,6,0,35,81,14,5,20
Nachos BellGrande  Steak,720,36,6,0,30,81,14,5,19
Beef Quesarito,650,33,12,0.5,55,67,6,5,22
Black Bean Quesarito (V),630,29,10,0,35,73,7,5,19
Quesadilla  Cheese (V),470,25,12,0.5,50,37,4,2,19
Quesadilla  Chicken,510,26,12,0.5,75,38,4,2,27
Quesadilla  Steak,520,27,12,0.5,70,38,4,2,27
Bacon Club Chalupa  Specialties,440,27,5,0,50,31,2,3,20
Black Bean Chalupa  Specialties,330,15,3,0,10,39,5,3,10
Black Bean Crunchwrap Supreme  Specialties,510,17,4.5,0,5,77,8,6,13
Black Bean Quesarito  Specialties,630,29,10,0,35,73,7,5,19
Chalupa Supreme  Specialties,350,18,5,0,25,33,4,3,13
Cheesy Gordita Crunch  Specialties,500,28,10,0.5,55,41,5,4,20
Cheesy Roll Up  Specialties,180,9,5,0,20,15,2,1,9
Crunchwrap Supreme  Specialties,530,21,6,0,25,71,6,6,16
Crunchy Taco  Specialties,170,9,3.5,0,25,13,3,1,8
Nacho Cheese Doritos Locos Taco  Specialties,170,9,3.5,0,25,13,3,1,8
Nachos BellGrande  Specialties,740,38,7,0,25,82,15,5,16
Power Menu Bowl  Specialties,470,19,6,0,70,50,7,2,26
Quesadilla  Specialties,510,26,12,0.5,75,38,4,2,27
Quesarito  Specialties,650,33,12,0.5,55,67,6,5,22
Soft Taco  Specialties,180,9,4,0,25,17,3,1,9
Soft Taco Supreme  Specialties,210,10,5,0,25,20,3,2,10
Veggie Power Menu Bowl  Specialties,430,17,5,0,20,57,10,2,12
Black Beans & Rice (V),170,3.5,0,0,0,31,4,0,4
Black Beans (V),50,1,0,0,0,8,3,0,2
Cinnabon Delights„¢ (2 Pk) (V),160,9,2,0,5,17,0,10,2
Cinnabon Delights„¢ (12 Pk  Serves 4) (V),930,53,13,2,40,104,3,59,9
Cinnamon Twists (V),170,6,0,0,0,27,1,13,1
Diablo Sauce Packet (V),0,0,0,0,0,0,0,0,0
Fire Sauce Packet (V),0,0,0,0,0,0,0,0,0
Hot Sauce Packet (V),0,0,0,0,0,0,0,0,0
Mild Sauce Packet (V),0,0,0,0,0,0,0,0,0
Blue Raspberry Freeze„¢ (16 oz) (New),120,0,0,0,0,30,0,30,0
Blue Raspberry Freeze„¢ (20 oz) (New),150,0,0,0,0,38,0,38,0
Dragon Fruit Freeze (16 oz),190,0,0,0,0,49,0,47,0
Dragon Fruit Freeze (20 oz),230,0,0,0,0,59,0,57,0
Lowfat Milk  CA (Regional),100,2,1.5,0,10,13,0,12,9
Lowfat Milk  Federal (Regional),80,2,1.5,0,10,10,0,9,7
Midnight Berry Freeze„¢ (16 oz) (New),140,0,0,0,0,35,0,34,0
Midnight Berry Freeze„¢ (20 oz) (New),170,0,0,0,0,43,0,42,0
Mtn Dew Baja Blast Freeze„¢ (16 oz),150,0,0,0,0,41,0,41,0
Mtn Dew Baja Blast Freeze„¢ (20 oz),190,0,0,0,0,51,0,51,0
Orange Juice,140,0,0,0,0,33,1,28,2
Premium Hot Coffee,10,0,0,0,0,0,0,0,2
Regular Iced Coffee,10,0,0,0,0,0,0,0,2
Water,0,0,0,0,0,0,0,0,0
Wild Strawberry Freeze„¢ (16 oz),150,0,0,0,0,41,0,41,0
Wild Strawberry Freeze„¢ (20 oz),190,0,0,0,0,51,0,51,0
Beef Burrito  Value Menu,430,19,5,0,20,51,4,3,12
Cheesy Bean & Rice Burrito  Value Menu,420,16,4,0,5,56,7,3,10
Cheesy Roll Up  Value Menu,180,9,5,0,20,15,2,2,9
Chicken Chipotle Melt  Value Menu,190,9,3,0,35,15,1,3,12
Chips and Nacho Cheese Sauce  Value Menu,220,13,1.5,0,5,24,2,2,2
Cinnamon Twists  Value Menu,170,6,0,0,0,27,1,13,1
Loaded Nacho Taco  Value Menu,250,12,4.5,0,25,24,3,2,10
Bean Burrito,350,9,3.5,0,5,54,11,3,13
Black Bean Chalupa,330,15,3,0,10,39,5,3,10
Black Bean Crunchwrap Supreme,510,17,4.5,0,5,77,8,6,13
Black Bean Quesarito,630,29,10,0,35,73,7,5,19
Black Beans & Rice,170,3.5,0,0,0,31,4,0,4
Cheese Quesadilla,470,25,12,0.5,50,37,4,2,19
Cheesy Bean & Rice Burrito,420,16,4,0,5,56,7,3,10
Cheesy Roll Up,180,9,5,0,20,15,2,1,9
Chips and Nacho Cheese Sauce,220,13,1.5,0,5,24,2,2,2
Cinnabon Delights„¢ (2 Pack),160,9,2,0,5,17,0,10,2
Cinnabon Delights„¢ (12 Pack  Serves 4),930,53,13,2,40,104,3,59,9
Cinnamon Twists,170,6,0,0,0,27,1,13,1
Hash Brown,160,12,1,0,0,13,2,0,1
Power Menu Bowl  Veggie,430,17,5,0,20,57,10,2,12
Power Menu Bowl  Chicken,470,19,6,0,70,50,7,2,26
Power Menu Bowl  Steak,480,20,7,0,60,51,7,2,25
Power Menu Bowl  Veggie (V),430,17,5,0,20,57,10,2,12
Breakfast Crunchwrap  Bacon,670,41,12,0,140,50,4,3,21
Breakfast Crunchwrap  Sausage,720,47,15,0,145,51,4,3,21
Breakfast Crunchwrap  Steak,660,38,12,0,145,51,4,3,24
Breakfast Salsa Packet (V),0,0,0,0,0,1,0,0,0
Cheesy Toasted Breakfast Burrito  Bacon,350,16,4.5,0,115,36,2,3,13
Cheesy Toasted Breakfast Burrito  Fiesta Potato (V),340,14,3.5,0,100,43,3,3,10
Cheesy Toasted Breakfast Burrito  Sausage,340,17,5,0,110,36,2,3,11
Cinnabon Delights„¢ (2 Pack) (V),160,9,2,0,5,17,0,10,2
Cinnabon Delights„¢ (12 Pack  Serves 4) (V),930,53,13,2,40,104,3,59,9
Grande Toasted Breakfast Burrito  Bacon,560,30,10,0,230,49,4,3,24
Grande Toasted Breakfast Burrito  Sausage,560,31,10,0,230,49,4,3,22
Grande Toasted Breakfast Burrito  Steak,560,28,9,0,240,50,4,3,27
Hash Brown (V),160,12,1,0,0,13,2,0,1
Hash Brown Toasted Breakfast Burrito  Bacon,570,33,10,0,135,49,4,2,21
Hash Brown Toasted Breakfast Burrito  Sausage,570,34,10,0,130,49,4,2,18
Hash Brown Toasted Breakfast Burrito  Steak,570,30,9,0,140,50,4,2,24
7-Up (16 fl oz),190,0,0,0,70,0,0,46,0
Brisk Mango Iced Tea (16 fl oz),100,0,0,0,50,0,0,26,0
Brisk Unsweetened No Lemon Iced Tea (16 fl oz),0,0,0,0,60,0,0,0,0
Diet Dr Pepper (16 fl oz),0,0,0,0,95,0,0,0,0
Diet Mtn Dew (16 fl oz),5,0,0,0,75,0,0,1,0
Diet Pepsi (16 fl oz),0,0,0,0,75,0,0,0,0
Dr Pepper (16 fl oz),190,0,0,0,60,0,0,51,0
G2  Fruit Punch (16 fl oz),30,0,0,0,140,0,0,6,0
Mtn Dew (16 fl oz),220,0,0,0,70,0,0,58,0
Mtn Dew Baja Blast„¢ (16 fl oz),220,0,0,0,65,0,0,59,0
Mtn Dew Baja Blast Zero Sugar (16 fl oz),5,0,0,0,70,0,0,0,0
Mtn Dew Kickstart„¢ Orange Citrus (16 fl oz),70,0,0,0,75,0,0,18,0
Mug Root Beer (16 fl oz),190,0,0,0,60,0,0,52,0
Pepsi (16 fl oz),200,0,0,0,45,0,0,55,0
Pepsi Wild Cherry (16 fl oz),210,0,0,0,40,0,0,56,0
Pepsi Zero Sugar (16 fl oz),0,0,0,0,85,0,0,0,0
Sierra Mist (16 fl oz),200,0,0,0,45,0,0,54,0
Tropicana Pink Lemonade (16 fl oz),210,0,0,0,210,0,0,53,0
7-Up (20 fl oz),240,0,0,0,85,0,0,58,0
Brisk Mango Iced Tea (20 fl oz),120,0,0,0,60,0,0,32,0
Brisk Unsweetened No Lemon Iced Tea (20 fl oz),0,0,0,0,75,0,0,0,0
Diet Dr Pepper (20 fl oz),0,0,0,0,120,0,0,0,0
Diet Mtn Dew (20 fl oz),10,0,0,0,90,0,0,1,0
Diet Pepsi (20 fl oz),0,0,0,0,95,0,0,0,0
Dr Pepper (20 fl oz),240,0,0,0,75,0,0,64,0
G2  Fruit Punch (20 fl oz),35,0,0,0,180,0,0,8,0
Mtn Dew (20 fl oz),270,0,0,0,85,0,0,73,0
Mtn Dew Baja Blast„¢ (20 fl oz),280,0,0,0,80,0,0,73,0
Mtn Dew Baja Blast Zero Sugar (20 fl oz),10,0,0,0,85,0,0,0,0
Mtn Dew Kickstart„¢ Orange Citrus (20 fl oz),90,0,0,0,90,0,0,22,0
Mug Root Beer (20 fl oz),240,0,0,0,75,0,0,65,0
Pepsi (20 fl oz),250,0,0,0,55,0,0,69,0
Pepsi Wild Cherry (20 fl oz),260,0,0,0,50,0,0,70,0
Pepsi Zero Sugar (20 fl oz),0,0,0,0,105,0,0,0,0
Sierra Mist (20 fl oz),260,0,0,0,55,0,0,68,0
Tropicana Pink Lemonade (20 fl oz),260,0,0,0,260,0,0,67,0
7-Up (30 fl oz),350,0,0,0,125,0,0,87,0
Brisk Mango Iced Tea (30 fl oz),180,0,0,0,90,0,0,48,0
Brisk Unsweetened No Lemon Iced Tea (30 fl oz),0,0,0,0,115,0,0,0,0
Diet Dr Pepper (30 fl oz),0,0,0,0,180,0,0,0,0
Diet Mtn Dew (30 fl oz),10,0,0,0,140,0,0,1,0
Diet Pepsi (30 fl oz),0,0,0,0,140,0,0,0,0
Dr Pepper (30 fl oz),360,0,0,0,110,0,0,96,0
G2  Fruit Punch (30 fl oz),50,0,0,0,270,0,0,12,0
Mtn Dew (30 fl oz),410,0,0,0,125,0,0,109,0
Mtn Dew Baja Blast„¢ (30 fl oz),420,0,0,0,120,0,0,110,0
Mtn Dew Baja Blast Zero Sugar (30 fl oz),15,0,0,0,125,0,0,0,0
Mtn Dew Kickstart„¢ Orange Citrus (30 fl oz),130,0,0,0,140,0,0,33,0
Mug Root Beer (30 fl oz),360,0,0,0,110,0,0,98,0
Pepsi (30 fl oz),380,0,0,0,80,0,0,103,0
Pepsi Wild Cherry (30 fl oz),390,0,0,0,80,0,0,105,0
Pepsi Zero Sugar (30 fl oz),0,0,0,0,160,0,0,0,0
Sierra Mist (30 fl oz),380,0,0,0,80,0,0,101,0
Tropicana Pink Lemonade (30 fl oz),390,0,0,0,390,0,0,100,0
Detroit Double Cheesy Pizza Slice,280,12,6,0,30,31,2,2,13
Detroit Double Pepperoni Pizza Slice,330,17,7,0,40,30,2,2,14
Detroit Meaty Pizza Slice,320,16,6,0,35,31,2,2,14
Detroit Supremo Pizza Slice,290,13,6,0,30,31,2,2,13
Pan Pizza Slices Backyard BBQ Chicken Personal Pan,180,6,2,0,15,25,1,8,8
Pan Pizza Slices Backyard BBQ Chicken Medium,270,10,4,0,25,33,2,6,11
Pan Pizza Slices Backyard BBQ Chicken Large,380,16,6,0,35,43,2,7,16
Pan Pizza Slices Beyond Meat Pepperoni Medium,240,10,4.5,0,15,29,2,1,10
Pan Pizza Slices Beyond Meat Pepperoni Large,350,16,6,0,25,38,3,2,14
Pan Pizza Slices Buffalo Chicken Personal Pan,160,5,2,0,15,22,1,2,7
Pan Pizza Slices Buffalo Chicken Medium,240,9,3.5,0,20,31,2,2,11
Pan Pizza Slices Buffalo Chicken Large,350,14,5,0,30,40,2,2,15
Pan Pizza Slices Cheese Personal Pan,150,6,2.5,0,15,17,1,2,7
Pan Pizza Slices Cheese Medium,250,10,4.5,0,25,28,2,1,11
Pan Pizza Slices Cheese Large,360,17,7,0,35,37,2,2,16
Pan Pizza Slices Chicken Bacon Parmesan Personal Pan,180,8,3,0,20,17,1,2,9
Pan Pizza Slices Chicken Bacon Parmesan Medium,270,13,4.5,0,30,27,2,1,12
Pan Pizza Slices Chicken Bacon Parmesan Large,390,20,7,0,40,35,2,2,18
Pan Pizza Slices Hawaiian Chicken Personal Pan,150,5,2,0,15,18,1,3,8
Pan Pizza Slices Hawaiian Chicken Medium,240,9,3.5,0,20,29,2,2,12
Pan Pizza Slices Hawaiian Chicken Large,350,15,5,0,30,38,2,3,17
Pan Pizza Slices Meat Lovers Personal Pan,210,12,4.5,0,25,18,1,2,9
Pan Pizza Slices Meat Lovers Medium,320,17,6,0,35,28,2,1,13
Pan Pizza Slices Meat Lovers Large,470,27,10,0,50,37,2,2,19
Pan Pizza Slices Pepperoni Personal Pan,150,7,2.5,0,15,17,1,2,6
Pan Pizza Slices Pepperoni Medium,250,11,4.5,0,25,28,2,1,10
Pan Pizza Slices Pepperoni Large,370,18,6,0,35,36,2,2,15
Pan Pizza Slices Pepperoni Lovers Personal Pan,180,9,3.5,0,20,17,1,2,8
Pan Pizza Slices Pepperoni Lovers Medium,300,15,6,0,35,28,2,1,13
Pan Pizza Slices Pepperoni Lovers Large,440,24,9,0.5,50,37,3,2,19
Pan Pizza Slices Supreme Personal Pan,170,8,3,0,15,18,1,2,7
Pan Pizza Slices Supreme Medium,270,13,5,0,25,29,2,2,11
Pan Pizza Slices Supreme Large,390,20,7,0,40,37,2,2,16
Pan Pizza Slices Ultimate Cheese Lovers Personal Pan,170,8,3.5,0,15,17,1,2,8
Pan Pizza Slices Ultimate Cheese Lovers Medium,270,13,5,0,25,27,2,1,12
Pan Pizza Slices Ultimate Cheese Lovers Large,390,20,8,0,40,36,2,2,17
Pan Pizza Slices Veggie Lovers Personal Pan,140,5,2,0,10,18,1,2,6
Pan Pizza Slices Veggie Lovers Medium,230,9,3.5,0,15,29,2,2,9
Pan Pizza Slices Veggie Lovers Large,330,15,5,0,25,38,3,3,14
Hand Tossed Slices Backyard BBQ Chicken Small,140,4,2,0,15,20,1,4,6
Hand Tossed Slices Backyard BBQ Chicken Medium,220,7,3,0,20,31,2,6,10
Hand Tossed Slices Backyard BBQ Chicken Large,300,10,4.5,0,30,40,2,7,14
Hand Tossed Slices Beyond Meat Pepperoni Medium,200,7,3.5,0,15,26,2,1,9
Hand Tossed Slices Beyond Meat Pepperoni Large,280,10,5,0,20,35,3,2,12
Hand Tossed Slices  Buffalo Chicken Small,130,3.5,1.5,0,10,19,1,1,6
Hand Tossed Slices  Buffalo Chicken Medium,200,5,2.5,0,20,28,2,1,9
Hand Tossed Slices  Buffalo Chicken Large,270,8,4,0,30,37,2,2,13
Hand Tossed Slices Cheese Small,130,4.5,2,0,10,17,1,1,6
Hand Tossed Slices Cheese Medium,210,8,3.5,0,20,26,2,1,10
Hand Tossed Slices Cheese Large,290,10,5,0,30,34,3,2,13
Hand Tossed Slices Chicken Bacon Parmesan Small,150,6,2.5,0,15,16,1,1,7
Hand Tossed Slices Chicken Bacon Parmesan Medium,230,9,4,0,25,25,2,1,11
Hand Tossed Slices Chicken Bacon Parmesan Large,310,13,5,0,35,33,2,1,16
Hand Tossed Slices Hawaiian Chicken Small,130,4,1.5,0,10,17,1,1,7
Hand Tossed Slices Hawaiian Chicken Medium,210,6,3,0,20,27,2,2,10
Hand Tossed Slices Hawaiian Chicken Large,280,9,4,0,30,36,3,3,15
Hand Tossed Slices Meat Lovers Small,180,9,3.5,0,20,17,1,1,7
Hand Tossed Slices Meat Lovers Medium,290,15,6,0,30,26,2,1,12
Hand Tossed Slices Meat Lovers Large,390,21,8,0,45,34,3,2,17
Hand Tossed Slices Pepperoni Small,130,5,2,0,10,16,1,1,6
Hand Tossed Slices Pepperoni Medium,220,9,4,0,20,25,2,1,9
Hand Tossed Slices Pepperoni Large,300,13,6,0,30,34,3,2,13
Hand Tossed Slices Pepperoni Lovers Small,160,7,3,0,20,17,1,1,7
Hand Tossed Slices Pepperoni Lovers Medium,270,13,6,0,35,26,2,1,12
Hand Tossed Slices Pepperoni Lovers Large,370,18,8,0,50,35,3,2,17
Hand Tossed Slices Supreme Small,150,6,2.5,0,15,17,1,1,6
Hand Tossed Slices Supreme Medium,240,10,4,0,25,26,2,2,10
Hand Tossed Slices Supreme Large,320,14,6,0,35,35,3,2,14
Hand Tossed Slices Ultimate Cheese Lovers Small,150,6,2.5,0,15,16,1,1,6
Hand Tossed Slices Ultimate Cheese Lovers Medium,230,10,4.5,0,25,25,2,1,11
Hand Tossed Slices Ultimate Cheese Lovers Large,310,13,6,0,35,33,2,1,15
Hand Tossed Slices Veggie Lovers Small,120,4,1.5,0,10,17,1,1,5
Hand Tossed Slices Veggie Lovers Medium,200,6,2.5,0,15,27,2,2,8
Hand Tossed Slices Veggie Lovers Large,260,9,4,0,20,36,3,3,11
